	FAP1	FAP2	FAP3	FAP5	FAP4
ClienteP	1877	2391	15	3244	2043
ClienteP	1742	2256	192	3109	1908
ClienteP	566	1092	1345	1933	732
ClienteP	545	492	2009	1348	173
ClienteP	792	91	2465	832	457
ClienteP	856	155	2528	768	520
ClienteP	748	1027	1440	1932	914
ClienteP	402	315	2151	1219	591
ClienteP	1017	757	2652	1117	651
ClienteP	1061	801	2696	1074	694
ClienteP	1261	1001	2896	873	895
ClienteP	1310	1050	2944	825	943
ClienteP	1371	1104	2956	805	1005
ClienteP	1398	1131	3017	825	1031
ClienteP	1376	1109	2995	804	1010
ClienteP	1467	1200	3086	894	1100
